"","x","y","r","lineage","ONTraC","DPT","monocle3","DPT_l1","monocle3_l1","TSCAN_l1","Slingshot_l1","DPT_l2","monocle3_l2","TSCAN_l2","Slingshot_l2"
"cell293",-156.707144783577,573.306472357768,594.337816795742,1,0.285752623480606,1.24281177495859,12.592746759519,1.19408301621397,15.3059157930635,138,12.1983426555994,NA,NA,NA,NA
"cell294",366.988692467155,93.4712930097897,378.705139938282,1,0.472837058225645,0.151964470551864,6.06776653583191,0.163737415043863,7.65011118424544,413,7.01298780733657,NA,NA,NA,NA
"cell295",477.129467998186,-445.806160540545,652.989787062657,1,0.270591797038883,0.902808018872457,12.1636203658448,0.911003284456567,11.9912223925675,165,10.9082879306075,NA,NA,NA,NA
"cell296",-285.166119760105,-516.458568640171,589.956921292469,2,0.307432163050217,0.365855880993343,12.1906115449173,NA,NA,NA,NA,0.0790104838630983,0.00177452815374224,247,2.68532206253974
"cell297",244.448137072503,-363.532335809288,438.076078891754,2,0.455745583664843,0.356553053312948,11.3099754037993,NA,NA,NA,NA,0.0868876198680999,0.00170058948066965,248,2.86618514210731
"cell298",165.471552437047,194.916658102919,255.682103933648,1,0.734557804812719,0.0163361260263785,6.79062646380402e-05,0.0149469811739902,0.367523893808,639,NA,NA,NA,NA,NA
"cell299",-45.7011204575168,240.054266030554,244.365797628351,1,0.714941954662356,0.0315982704995452,1.8463545956539,0.0396008557485672,4.38161536216044,623,NA,NA,NA,NA,NA
"cell300",124.806057803099,-323.646681371425,346.877105654276,1,0.591812909581251,0.0662163610644415,3.34086038582626,0.077726688933045,3.29705269296389,487,NA,NA,NA,NA,NA
"cell301",44.7847981228288,-283.277963468284,286.796239043752,1,0.676708582906022,0.0482078161295434,1.33140134215487,0.0619427418529807,3.2971112367842,507,NA,NA,NA,NA,NA
"cell302",782.397261893315,586.583937898357,977.868187241256,2,0.198989356834865,0.535105425138721,14.288862808028,NA,NA,NA,NA,0.0284332403516748,2.00219462079362,6,1.22202211995848
"cell303",298.390870197081,156.61447488208,336.994369625905,1,0.509386815480645,0.104868375255479,2.10894628550733,0.112758051953016,3.52687900045632,464,NA,NA,NA,NA,NA
