Cell_ID,x,y
E16_E2S7_292502,28929.0,17232.0
E16_E2S7_292512,28941.0,18086.0
E16_E2S7_292520,28930.0,17775.5
E16_E2S7_292531,28936.0,18052.0
E16_E2S7_292532,28930.0,18580.0
E16_E2S7_292540,28943.0,18000.5
E16_E2S7_292543,28940.0,17033.0
E16_E2S7_292544,28932.0,17252.0
E16_E2S7_292545,28935.0,17436.0
E16_E2S7_292546,28925.0,18511.0
E16_E2S7_292552,28928.0,17308.0
E16_E2S7_292553,28939.0,17849.0
E16_E2S7_292563,28937.0,17500.0
E16_E2S7_292575,28946.0,17800.5
E16_E2S7_292590,28939.0,17281.0
E16_E2S7_292604,28942.0,17532.0
E16_E2S7_292615,28941.0,17073.0
E16_E2S7_292616,28947.0,17362.0
E16_E2S7_292617,28945.0,17570.0
E16_E2S7_292618,28944.0,17705.0
E16_E2S7_292628,28956.0,17940.0
E16_E2S7_292633,28943.0,17722.0
E16_E2S7_292651,28942.0,18173.0
E16_E2S7_292659,28945.0,17296.0
E16_E2S7_292660,28946.0,17398.0
E16_E2S7_292661,28954.0,17884.0
E16_E2S7_292662,28939.0,18236.0
E16_E2S7_292675,28942.0,17186.0
E16_E2S7_292676,28947.0,18571.0
E16_E2S7_292681,28952.0,18033.0
E16_E2S7_292690,28952.0,18221.0
E16_E2S7_292696,28952.0,18253.0
E16_E2S7_292712,28964.0,17822.0
E16_E2S7_292713,28943.0,18282.0
E16_E2S7_292720,28946.0,17158.0
E16_E2S7_292721,28956.0,17498.0
E16_E2S7_292722,28957.0,18143.0
E16_E2S7_292737,28956.0,17252.0
E16_E2S7_292748,28959.0,17789.0
E16_E2S7_292754,28960.0,17466.0
E16_E2S7_292765,28962.0,17696.0
E16_E2S7_292776,28959.0,17342.0
E16_E2S7_292777,28968.0,17677.0
E16_E2S7_292783,28960.0,17281.0
E16_E2S7_292784,28962.0,17756.0
E16_E2S7_292785,28961.0,17913.0
E16_E2S7_292791,28983.0,17122.0
E16_E2S7_292792,28959.0,17600.0
E16_E2S7_292801,28963.0,17006.0
E16_E2S7_292802,28961.0,17192.0
E16_E2S7_292807,28964.0,17216.0
E16_E2S7_292808,28963.0,17318.0
E16_E2S7_292813,28969.0,17077.0
E16_E2S7_292814,28966.0,17299.0
E16_E2S7_292815,28964.0,17440.0
E16_E2S7_292816,28967.0,17524.0
E16_E2S7_292817,28961.0,18051.0
E16_E2S7_292820,28964.0,17844.0
E16_E2S7_292821,28962.0,18189.0
E16_E2S7_292832,28970.0,17872.0
E16_E2S7_292842,28964.0,17393.0
E16_E2S7_292851,28971.0,16979.0
E16_E2S7_292852,28969.0,17102.0
E16_E2S7_292860,28968.0,17421.0
E16_E2S7_292861,28971.0,17484.0
E16_E2S7_292862,28972.0,18164.0
E16_E2S7_292874,28969.0,17734.0
E16_E2S7_292875,28971.0,17998.0
E16_E2S7_292876,28970.0,18224.0
E16_E2S7_292894,28973.0,17257.0
E16_E2S7_292895,28983.0,17555.0
E16_E2S7_292896,28975.5,18144.0
E16_E2S7_292897,28971.0,18564.0
E16_E2S7_292898,28973.0,18585.0
E16_E2S7_292910,28974.0,17708.0
E16_E2S7_292911,28966.0,18024.0
