Cell_ID,Sample,Cell_Type,x,y
E12_E1S3_101998,E12_E1S3,RGC,16194,18750
E12_E1S3_102011,E12_E1S3,RGC,16186,18726
E12_E1S3_102012,E12_E1S3,Endo,16193,18867
E12_E1S3_102023,E12_E1S3,NeuB,16200,18328
E12_E1S3_102033,E12_E1S3,Endo,16195,18823
E12_E1S3_102052,E12_E1S3,Endo,16197,18842
E12_E1S3_102061,E12_E1S3,RGC,16195,18547
E12_E1S3_102062,E12_E1S3,RGC,16197,18598
E12_E1S3_102070,E12_E1S3,GluNeuB,16203,18248
E12_E1S3_102079,E12_E1S3,GlioB,16201,18446
E12_E1S3_102080,E12_E1S3,RGC,16200,18681
E12_E1S3_102099,E12_E1S3,GluNeuB,16201,18226
E12_E1S3_102100,E12_E1S3,RGC,16199,18572
E12_E1S3_102103,E12_E1S3,RGC,16200,18388
E12_E1S3_102116,E12_E1S3,Endo,16203,18781
E12_E1S3_102145,E12_E1S3,GluNeuB,16209,18273
E12_E1S3_102156,E12_E1S3,RGC,16211,18420
E12_E1S3_102164,E12_E1S3,RGC,16210,18611
E12_E1S3_102165,E12_E1S3,NeuB,16210,18723
E12_E1S3_102173,E12_E1S3,RGC,16201,18349
E12_E1S3_102184,E12_E1S3,RGC,16207,18369
E12_E1S3_102185,E12_E1S3,Fibro,16209,18758
E12_E1S3_102204,E12_E1S3,Endo,16212,18816
E12_E1S3_102225,E12_E1S3,Fibro,16220,18901
E12_E1S3_102239,E12_E1S3,RGC,16220,18305
E12_E1S3_102256,E12_E1S3,NeuB,16221,18699
E12_E1S3_102265,E12_E1S3,GlioB,16224,18553
E12_E1S3_102272,E12_E1S3,GABA,16226,18734
E12_E1S3_102281,E12_E1S3,RGC,16225,18582
E12_E1S3_102298,E12_E1S3,GluNeuB,16225,18208
E12_E1S3_102299,E12_E1S3,RGC,16228,18394
E12_E1S3_102312,E12_E1S3,GABA,16233,18270
E12_E1S3_102313,E12_E1S3,RGC,16238,18478
E12_E1S3_102318,E12_E1S3,GlioB,16227,18609
E12_E1S3_102340,E12_E1S3,GlioB,16236,18367
E12_E1S3_102348,E12_E1S3,GluNeuB,16237,18239
E12_E1S3_102356,E12_E1S3,RGC,16234,18685.5
E12_E1S3_102379,E12_E1S3,GluNeuB,16235,18286
E12_E1S3_102380,E12_E1S3,RGC,16236,18438
E12_E1S3_102392,E12_E1S3,NeuB,16236,18664
E12_E1S3_102405,E12_E1S3,RGC,16243,18319
E12_E1S3_102406,E12_E1S3,NeuB,16239,18347.5
E12_E1S3_102415,E12_E1S3,RGC,16254,18691
E12_E1S3_102424,E12_E1S3,GluNeuB,16244,18735
E12_E1S3_102450,E12_E1S3,NeuB,16250,18618
E12_E1S3_102451,E12_E1S3,Endo,16247,18822.5
