Cell_ID,x,y
E16_E2S6_1232,3919.0,2742.0
E16_E2S6_1233,3913.0,2076.0
E16_E2S6_1236,3917.0,3290.0
E16_E2S6_1237,3909.0,3147.0
E16_E2S6_1238,3914.0,2854.0
E16_E2S6_1239,3915.0,2438.0
E16_E2S6_1240,3913.0,2052.0
E16_E2S6_1241,3913.0,1698.0
E16_E2S6_1243,3911.0,2614.0
E16_E2S6_1245,3909.0,3117.0
E16_E2S6_1246,3913.0,3038.0
E16_E2S6_1247,3914.0,1445.0
E16_E2S6_1250,3913.0,1719.0
E16_E2S6_1254,3910.0,2982.0
E16_E2S6_1255,3907.0,2958.0
E16_E2S6_1256,3909.0,2703.0
E16_E2S6_1257,3911.0,1884.0
E16_E2S6_1259,3909.0,2732.0
E16_E2S6_1261,3907.0,1620.0
E16_E2S6_1262,3903.0,2898.0
E16_E2S6_1263,3908.0,2808.0
E16_E2S6_1264,3907.5,2762.0
E16_E2S6_1268,3902.0,2515.0
E16_E2S6_1270,3906.0,1499.0
E16_E2S6_1271,3904.0,2935.0
E16_E2S6_1272,3904.0,2648.0
E16_E2S6_1274,3902.0,1602.0
E16_E2S6_1275,3906.0,3362.5
E16_E2S6_1276,3906.0,3324.0
E16_E2S6_1277,3897.0,2543.0
E16_E2S6_1278,3901.0,2104.0
E16_E2S6_1279,3903.0,1866.5
E16_E2S6_1280,3904.0,1758.0
E16_E2S6_1284,3899.0,3461.0
E16_E2S6_1285,3902.0,3180.0
E16_E2S6_1286,3907.0,2825.0
E16_E2S6_1287,3902.0,1831.0
E16_E2S6_1288,3895.0,1683.0
E16_E2S6_1291,3905.0,2353.0
E16_E2S6_1292,3905.0,1475.0
E16_E2S6_1293,3898.0,1572.0
E16_E2S6_1296,3898.0,3098.0
E16_E2S6_1297,3898.0,3076.0
E16_E2S6_1298,3899.0,1809.0
E16_E2S6_1300,3897.0,3218.0
E16_E2S6_1301,3896.0,1415.0
E16_E2S6_1304,3897.0,2402.0
E16_E2S6_1309,3890.0,1632.0
E16_E2S6_1312,3886.0,2965.0
E16_E2S6_1313,3893.0,3417.0
E16_E2S6_1314,3889.0,1291.0
E16_E2S6_1317,3891.0,3023.0
E16_E2S6_1318,3895.0,2982.0
E16_E2S6_1319,3891.0,2666.0
E16_E2S6_1320,3895.0,2623.0
E16_E2S6_1322,3894.0,3578.0
E16_E2S6_1323,3887.0,3248.0
E16_E2S6_1325,3887.0,1613.0
E16_E2S6_1326,3885.0,1568.0
E16_E2S6_1329,3893.0,2570.0
E16_E2S6_1330,3889.0,2025.0
E16_E2S6_1331,3892.0,1453.0
E16_E2S6_1334,3889.0,2073.0
E16_E2S6_1335,3890.0,1971.0
E16_E2S6_1338,3887.0,2042.0
E16_E2S6_1341,3882.0,3155.0
E16_E2S6_1342,3890.0,3049.0
E16_E2S6_1343,3897.0,2869.0
E16_E2S6_1344,3892.0,2739.0
E16_E2S6_1345,3883.0,1337.0
E16_E2S6_1347,3887.0,1833.0
E16_E2S6_1348,3888.0,1231.0
E16_E2S6_1350,3878.0,3186.0
E16_E2S6_1351,3880.0,2829.0
E16_E2S6_1352,3880.0,1738.0
E16_E2S6_1353,3874.0,1589.0
E16_E2S6_1354,3878.0,3471.0
E16_E2S6_1355,3884.0,2912.0
E16_E2S6_1356,3885.0,2594.0
E16_E2S6_1358,3885.0,2100.0
E16_E2S6_1360,3878.0,3622.0
E16_E2S6_1361,3884.0,2781.0
E16_E2S6_1362,3881.0,1994.0
E16_E2S6_1364,3883.0,2799.0
E16_E2S6_1365,3876.0,1647.0
E16_E2S6_1366,3878.0,3337.0
E16_E2S6_1367,3877.0,3323.0
E16_E2S6_1369,3882.0,1669.0
E16_E2S6_1372,3869.0,3288.0
E16_E2S6_1373,3874.0,2765.0
E16_E2S6_1374,3880.0,1432.0
E16_E2S6_1375,3877.0,3015.0
E16_E2S6_1378,3875.0,2430.0
E16_E2S6_1379,3878.0,3486.0
E16_E2S6_1380,3873.0,2716.0
E16_E2S6_1381,3882.0,2450.0
E16_E2S6_1384,3875.0,1958.0
E16_E2S6_1385,3878.0,1944.0
E16_E2S6_1386,3872.0,1369.0
E16_E2S6_1390,3878.0,2362.0
E16_E2S6_1394,3876.0,3218.5
E16_E2S6_1395,3877.0,1907.0
E16_E2S6_1398,3872.0,3059.0
E16_E2S6_1399,3873.0,2873.0
E16_E2S6_1403,3866.0,3030.0
E16_E2S6_1404,3878.0,2689.0
E16_E2S6_1406,3868.0,2463.0
E16_E2S6_1409,3870.0,3567.0
E16_E2S6_1411,3860.0,3360.0
E16_E2S6_1412,3868.0,2732.0
E16_E2S6_1415,3867.0,2974.0
E16_E2S6_1417,3873.0,1557.0
E16_E2S6_1418,3866.0,1536.0
E16_E2S6_1419,3860.0,1253.0
E16_E2S6_1420,3866.0,1924.0
E16_E2S6_1421,3858.0,1498.0
E16_E2S6_1422,3875.0,1299.0
E16_E2S6_1425,3865.0,2956.0
E16_E2S6_1426,3865.0,1757.0
E16_E2S6_1427,3859.0,1472.0
E16_E2S6_1428,3866.0,1313.0
E16_E2S6_1430,3860.0,3665.0
E16_E2S6_1431,3854.0,2157.0
E16_E2S6_1432,3864.0,1781.0
E16_E2S6_1436,3865.0,3120.0
E16_E2S6_1437,3864.0,1724.0
E16_E2S6_1439,3859.0,2850.0
E16_E2S6_1441,3859.0,3087.0
E16_E2S6_1442,3857.0,2203.0
E16_E2S6_1443,3861.0,1340.0
E16_E2S6_1446,3861.0,3155.0
E16_E2S6_1447,3858.0,2300.0
E16_E2S6_1450,3858.0,3305.0
E16_E2S6_1451,3860.0,3212.0
E16_E2S6_1452,3858.0,2034.0
E16_E2S6_1455,3858.0,3519.5
E16_E2S6_1456,3857.5,2932.0
E16_E2S6_1458,3856.0,2818.0
E16_E2S6_1462,3854.0,2989.0
E16_E2S6_1464,3862.0,2057.0
E16_E2S6_1466,3857.0,1829.0
E16_E2S6_1468,3855.0,2474.0
E16_E2S6_1469,3855.0,1865.0
E16_E2S6_1470,3853.0,1740.0
E16_E2S6_1472,3854.0,3342.0
E16_E2S6_1474,3852.0,2402.0
E16_E2S6_1475,3851.0,3441.0
E16_E2S6_1476,3863.0,1619.0
E16_E2S6_1480,3852.0,2521.0
E16_E2S6_1483,3857.0,1704.0
E16_E2S6_1488,3845.0,1902.0
E16_E2S6_1489,3853.0,1454.0
E16_E2S6_1493,3847.0,2086.0
E16_E2S6_1494,3845.0,1971.0
E16_E2S6_1495,3847.0,1941.0
E16_E2S6_1496,3848.0,1511.0
E16_E2S6_1499,3846.0,3171.0
E16_E2S6_1500,3841.0,1565.0
E16_E2S6_1501,3828.0,1439.0
E16_E2S6_1503,3847.0,3154.0
E16_E2S6_1505,3844.0,2452.0
E16_E2S6_1506,3845.0,1883.0
E16_E2S6_1507,3847.0,3282.0
E16_E2S6_1508,3845.0,3189.0
E16_E2S6_1510,3844.5,1765.0
E16_E2S6_1511,3843.0,1588.0
E16_E2S6_1516,3837.0,3606.0
E16_E2S6_1518,3834.0,1540.0
E16_E2S6_1519,3845.0,1280.0
E16_E2S6_1525,3833.0,2349.0
E16_E2S6_1526,3834.0,2034.0
E16_E2S6_1527,3839.0,1264.0
E16_E2S6_1528,3837.0,3306.0
E16_E2S6_1532,3836.0,1812.0
E16_E2S6_1534,3834.0,2393.0
E16_E2S6_1535,3834.0,1853.0
E16_E2S6_1536,3837.0,1655.0
E16_E2S6_1537,3835.0,3216.0
E16_E2S6_1538,3831.0,3557.0
E16_E2S6_1539,3839.0,3374.0
